TEMPLATE_NAME|TEMPLATE_CONTENT|DESCRIPTION
SOAP_CONNECTIVITY_ISSUE|Hej, p.g.a. ett tekniskt fel har vi inte kunnat genomföra din beställning. Försök gärna igen, annars kontakta kundservice. Mvh hallon.se|The requested operation was failed due to soap connectivity issue
SMS_INVALID_PHONE_NUMBER|Hej, du har angett en inkorrekt USSD-kod. Mvh hallon.se|The requested customer phonenumber is not valid
SMS_INVALID_PERSON_NUMBER|Hej, ditt abonnemang är inte registrerat och därför är det inte möjligt att köpa extra data. Du kan enkelt registrera ditt nummer genom www.hallon.se/registrera. Mvh hallon.se|The requested customer personnumber is not valid
TD_SMS_INVALID_TICKET_VALUE|Hej, när man betalar sitt abonnemang mot faktura är det inte möjligt att köpa extra data. Du kan enkelt ändra till kortbetalning genom www.hallon.se/bli-kortkund. Mvh hallon.se|The requested customer card details are not valid
TD_SMS_COST_CONTROL_ENABLED|Hej, när man aktiverat en kostnadskontroll på sitt abonnemang är det inte möjligt att köpa till extra data. Du kan enkelt inaktivera kostnadskontrollen via Mina sidor. Mvh hallon.se|The requested customer card details are not valid
TD_SMS_INVALID_DATA_REFERENCE|Hej, du har angett en kod som inte finns. Välj mellan *402*1# för 1GB, *402*3# för 3GB eller *402*10# för 10GB. Bekräfta din beställning genom att trycka på "lur". Mvh hallon.se|The requested data reference is invalid or not defined in hallon system
TD_SMS_INVALID_DATA_REFERENCE_PAYG|Hej, du har angett en kod som inte finns. Välj mellan *402*1# för 1GB, *402*3# för 3GB, *402*10# för 10GB extra data eller *402*99# for kontantkort Liten och *402*249# for kontantkort Stor.  Bekräfta din beställning genom att trycka på "lur". Mvh hallon.se|The requested data reference is invalid or not defined in hallon system
SMS_INVALID_SUBSCRIPTION|Hej, vi har inte genomfört din beställning eftersom ditt abonnemang är spärrat. Om du misstänker att du fått detta SMS felaktigt, vänligen kontakta kundservice. Mvh hallon.se|The requested customer's status is not active in hallon system
TD_SMS_FAILED_ASSIGN_CAMPAIGN|Hej, p.g.a. ett tekniskt fel har vi inte kunnat genomföra din beställning. Försök gärna igen, annars kontakta kundservice. Mvh hallon.se|The operation is failed due to some technical reason
TD_SMS_INVALID_SIM_STATUS|Hej, vi har inte genomfört din beställning eftersom ditt abonnemang är spärrat. Om du misstänker att du fått detta SMS felaktigt, vänligen kontakta kundservice. Mvh hallon.se|The requested customer's sim status is not active in hallon system
TD_SMS_SUCCESS_ABONNEMANG|Hej, din beställning av extra data har godkänds och behandlas just nu. Inom kort skickar vi ett SMS som bekräftar ditt köp av extra data. Mvh hallon.se|success on topupdata for abonnemang subscription.Which is not using by application since rator is sending.
TD_SMS_SUCCESS_PAYG|Hej, din beställning av extra data har godkänds och behandlas just nu. Inom kort skickar vi ett SMS som bekräftar ditt köp av extra data. Mvh hallon.se|success on topupdata for pay as you go subscription.Which is not using by application since rator is sending.
TD_SMS_FAILED_PAYG|Hej, vi har inte kunnat genomföra din beställning eftersom det saknas täckning på ditt kort. Mvh hallon.se|failure on soap_topup for pay as you go subscrtipion on payment transaction
SMS_INVALID_SERVICE_STATE|Hej, vi har inte genomfört din beställning eftersom ditt nummer är spärrat. Om du misstänker att du fått detta SMS felaktigt, vänligen kontakta kundservice. Mvh hallon.se|The requested customer's service status is SB or HB or Stolen Blocked in hallon system
CB_SMS_NO_ACTIVE_CAMPAIGN|Hej, du har inget aktivt värdebevis på ditt nummer. Köp ett nytt värdebevis eller fyll på direkt via Mina sidor. Har du inte registrerat ditt nummer än kan du enkelt göra det genom www.hallon.se/kontantkort. Mvh hallon.se|The requested customer's is preactivated and no active campaigns in hallon system
TU_SMS_INVALID_RATEPLAN|Hej, det är inte möjligt att fylla på ett abonnemang med ett värdebevis för kontantkort. Mvh hallon.se|The requested customer is belonging to Postpaid in hallon system
TU_SMS_INVALID_PRODUCT_COMPATIBLE|Hej, det här värdebeviset är inte giltigt för det nummer du använder. Mvh hallon.se|The requested voucher code is belongs to another product in hallon. hence rejecting
TU_SMS_INVALID_VOUCHER|Hej, det här värdebeviset är redan använt. Du kan enkelt registrera ditt nummer genom www.hallon.se/kontantkort för att fylla på via Mina sidor. Mvh hallon.se|The requested voucher code is unavailable or used by someone.
TU_SMS_SUCCESS|The given voucher code is successfully assigned.|The voucher code is valid and assigned successfully.This is not used in application
TU_SMS_FAILED|Hej, p.g.a. ett tekniskt fel har vi inte kunnat genomföra din beställning. Försök gärna igen, annars kontakta kundservice. Mvh hallon.se|The voucher code is valid but its failed to assign campaign.

doing test
